Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2007T2;2.339,64
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2007T1;2.239,53
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2006T4;2.358,85
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2006T3;2.152,88
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2006T2;2.254,38
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2006T1;2.154,32
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2005T4;2.251,93
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2005T3;2.055,75
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2005T2;2.141,24
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2005T1;2.063,93
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2004T4;2.189
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2004T3;2.006,72
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2004T2;2.067,86
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2004T1;2.016,58
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2003T4;2.134,67
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2003T3;1.960,87
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2003T2;1.999,46
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2003T1;1.940,05
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2002T4;2.052,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2002T3;1.888,12
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2002T2;1.907,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2002T1;1.837,27
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2001T4;1.966,79
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2001T3;1.810,54
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2001T2;1.827,17
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2001T1;1.756,16
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2000T4;1.883,61
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2000T3;1.734,62
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2000T2;1.764,85
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2000T1;1.693,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2024T4;3,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2024T3;4,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2024T2;4,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2024T1;3,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2023T4;5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2023T3;5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2023T2;5,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2023T1;6,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2022T4;4,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2022T3;4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2022T2;3,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2022T1;4,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2021T4;4,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2021T3;4,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2021T2;13,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2021T1;1,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2020T4;-0,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2020T3;-1,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2020T2;-8,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2020T1;0,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2019T4;2,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2019T3;2,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2019T2;2,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2019T1;2,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2018T4;0,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2018T3;1,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2018T2;0,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2018T1;0,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2017T4;0,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2017T3;0,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2017T2;-0,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2017T1;0
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2016T4;-0,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2016T3;-0,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2016T2;-0,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2016T1;-0,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2015T4;1,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2015T3;0,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2015T2;0,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2015T1;0,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2014T4;-0,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2014T3;-0,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2014T2;-0,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2014T1;-0,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2013T4;2,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2013T3;0,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2013T2;-0,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2013T1;-1,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2012T4;-3,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2012T3;-0,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2012T2;-0,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2012T1;1,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2011T4;1,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2011T3;1,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2011T2;0,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2011T1;0,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2010T4;-0,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2010T3;-0,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2010T2;1,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2010T1;1
