Comunidades y Ciudades Autónomas;Componentes del coste;Tipo de dato;Periodo;Total
04 Balears, Illes;Coste salarial total por trabajador;Euros;2015T3;1.665,7
04 Balears, Illes;Coste salarial total por trabajador;Euros;2015T2;1.760,66
04 Balears, Illes;Coste salarial total por trabajador;Euros;2015T1;1.729,93
04 Balears, Illes;Coste salarial total por trabajador;Euros;2014T4;1.970,88
04 Balears, Illes;Coste salarial total por trabajador;Euros;2014T3;1.635,44
04 Balears, Illes;Coste salarial total por trabajador;Euros;2014T2;1.715,83
04 Balears, Illes;Coste salarial total por trabajador;Euros;2014T1;1.685,18
04 Balears, Illes;Coste salarial total por trabajador;Euros;2013T4;1.905,31
04 Balears, Illes;Coste salarial total por trabajador;Euros;2013T3;1.624,48
04 Balears, Illes;Coste salarial total por trabajador;Euros;2013T2;1.736,16
04 Balears, Illes;Coste salarial total por trabajador;Euros;2013T1;1.673,11
04 Balears, Illes;Coste salarial total por trabajador;Euros;2012T4;1.862,24
04 Balears, Illes;Coste salarial total por trabajador;Euros;2012T3;1.649,97
04 Balears, Illes;Coste salarial total por trabajador;Euros;2012T2;1.767,47
04 Balears, Illes;Coste salarial total por trabajador;Euros;2012T1;1.693,71
04 Balears, Illes;Coste salarial total por trabajador;Euros;2011T4;1.939,47
04 Balears, Illes;Coste salarial total por trabajador;Euros;2011T3;1.666,49
04 Balears, Illes;Coste salarial total por trabajador;Euros;2011T2;1.761,13
04 Balears, Illes;Coste salarial total por trabajador;Euros;2011T1;1.717,2
04 Balears, Illes;Coste salarial total por trabajador;Euros;2010T4;1.943,34
04 Balears, Illes;Coste salarial total por trabajador;Euros;2010T3;1.662,25
04 Balears, Illes;Coste salarial total por trabajador;Euros;2010T2;1.761,52
04 Balears, Illes;Coste salarial total por trabajador;Euros;2010T1;1.711,52
04 Balears, Illes;Coste salarial total por trabajador;Euros;2009T4;1.920,82
04 Balears, Illes;Coste salarial total por trabajador;Euros;2009T3;1.658,33
04 Balears, Illes;Coste salarial total por trabajador;Euros;2009T2;1.761,4
04 Balears, Illes;Coste salarial total por trabajador;Euros;2009T1;1.667
04 Balears, Illes;Coste salarial total por trabajador;Euros;2008T4;1.903,17
04 Balears, Illes;Coste salarial total por trabajador;Euros;2008T3;1.601,78
04 Balears, Illes;Coste salarial total por trabajador;Euros;2008T2;1.669,34
04 Balears, Illes;Coste salarial total por trabajador;Euros;2008T1;1.607,69
04 Balears, Illes;Coste salarial total por trabajador;Euros;2007T4;1.838,78
04 Balears, Illes;Coste salarial total por trabajador;Euros;2007T3;1.505,5
04 Balears, Illes;Coste salarial total por trabajador;Euros;2007T2;1.563,24
04 Balears, Illes;Coste salarial total por trabajador;Euros;2007T1;1.524,33
04 Balears, Illes;Coste salarial total por trabajador;Euros;2006T4;1.761,72
04 Balears, Illes;Coste salarial total por trabajador;Euros;2006T3;1.471,28
04 Balears, Illes;Coste salarial total por trabajador;Euros;2006T2;1.503,24
04 Balears, Illes;Coste salarial total por trabajador;Euros;2006T1;1.467,75
04 Balears, Illes;Coste salarial total por trabajador;Euros;2005T4;1.662,79
04 Balears, Illes;Coste salarial total por trabajador;Euros;2005T3;1.419,62
04 Balears, Illes;Coste salarial total por trabajador;Euros;2005T2;1.403,41
04 Balears, Illes;Coste salarial total por trabajador;Euros;2005T1;1.371,64
04 Balears, Illes;Coste salarial total por trabajador;Euros;2004T4;1.595,62
04 Balears, Illes;Coste salarial total por trabajador;Euros;2004T3;1.353,06
04 Balears, Illes;Coste salarial total por trabajador;Euros;2004T2;1.342,71
04 Balears, Illes;Coste salarial total por trabajador;Euros;2004T1;1.310,09
04 Balears, Illes;Coste salarial total por trabajador;Euros;2003T4;1.494,97
04 Balears, Illes;Coste salarial total por trabajador;Euros;2003T3;1.293,56
04 Balears, Illes;Coste salarial total por trabajador;Euros;2003T2;1.272,21
04 Balears, Illes;Coste salarial total por trabajador;Euros;2003T1;1.258,88
04 Balears, Illes;Coste salarial total por trabajador;Euros;2002T4;1.430,11
04 Balears, Illes;Coste salarial total por trabajador;Euros;2002T3;1.245,38
04 Balears, Illes;Coste salarial total por trabajador;Euros;2002T2;1.205,93
04 Balears, Illes;Coste salarial total por trabajador;Euros;2002T1;1.176,99
04 Balears, Illes;Coste salarial total por trabajador;Euros;2001T4;1.389,64
04 Balears, Illes;Coste salarial total por trabajador;Euros;2001T3;1.194,56
04 Balears, Illes;Coste salarial total por trabajador;Euros;2001T2;1.156,79
04 Balears, Illes;Coste salarial total por trabajador;Euros;2001T1;1.119,54
04 Balears, Illes;Coste salarial total por trabajador;Euros;2000T4;1.332,04
04 Balears, Illes;Coste salarial total por trabajador;Euros;2000T3;1.132,84
04 Balears, Illes;Coste salarial total por trabajador;Euros;2000T2;1.115,83
04 Balears, Illes;Coste salarial total por trabajador;Euros;2000T1;1.091,98
04 Balears, Illes;Coste salarial total por trabajador;Índice;2024T4;148,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2024T3;130,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2024T2;134,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2024T1;132,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2023T4;142,8
04 Balears, Illes;Coste salarial total por trabajador;Índice;2023T3;124,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2023T2;131
04 Balears, Illes;Coste salarial total por trabajador;Índice;2023T1;123,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2022T4;134,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2022T3;117,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2022T2;118,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2022T1;110,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2021T4;125
04 Balears, Illes;Coste salarial total por trabajador;Índice;2021T3;107,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2021T2;111,8
04 Balears, Illes;Coste salarial total por trabajador;Índice;2021T1;99,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2020T4;113,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2020T3;95
04 Balears, Illes;Coste salarial total por trabajador;Índice;2020T2;83,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2020T1;108,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2019T4;125,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2019T3;108,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2019T2;112,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2019T1;107,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2018T4;124,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2018T3;108,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2018T2;112,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2018T1;106,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2017T4;121,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2017T3;103,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2017T2;109,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2017T1;103,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2016T4;118,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2016T3;100,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2016T2;105,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2016T1;102,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2015T4;119,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2015T3;100,8
04 Balears, Illes;Coste salarial total por trabajador;Índice;2015T2;106,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2015T1;104,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2014T4;119,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2014T3;99
04 Balears, Illes;Coste salarial total por trabajador;Índice;2014T2;103,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2014T1;102
04 Balears, Illes;Coste salarial total por trabajador;Índice;2013T4;115,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2013T3;98,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2013T2;105,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2013T1;101,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2012T4;112,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2012T3;99,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2012T2;107
04 Balears, Illes;Coste salarial total por trabajador;Índice;2012T1;102,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2011T4;117,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2011T3;100,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2011T2;106,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2011T1;103,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2010T4;117,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2010T3;100,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2010T2;106,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2010T1;103,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2009T4;116,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2009T3;100,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2009T2;106,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2009T1;100,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2008T4;115,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2008T3;97
04 Balears, Illes;Coste salarial total por trabajador;Índice;2008T2;101
04 Balears, Illes;Coste salarial total por trabajador;Índice;2008T1;97,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2007T4;111,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2007T3;91,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2007T2;94,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2007T1;92,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2006T4;106,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2006T3;89,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2006T2;91
04 Balears, Illes;Coste salarial total por trabajador;Índice;2006T1;88,8
04 Balears, Illes;Coste salarial total por trabajador;Índice;2005T4;100,7
04 Balears, Illes;Coste salarial total por trabajador;Índice;2005T3;85,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2005T2;84,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2005T1;83
04 Balears, Illes;Coste salarial total por trabajador;Índice;2004T4;96,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2004T3;81,9
04 Balears, Illes;Coste salarial total por trabajador;Índice;2004T2;81,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2004T1;79,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2003T4;90,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2003T3;78,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2003T2;77
04 Balears, Illes;Coste salarial total por trabajador;Índice;2003T1;76,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2002T4;86,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2002T3;75,4
04 Balears, Illes;Coste salarial total por trabajador;Índice;2002T2;73
04 Balears, Illes;Coste salarial total por trabajador;Índice;2002T1;71,2
04 Balears, Illes;Coste salarial total por trabajador;Índice;2001T4;84,1
04 Balears, Illes;Coste salarial total por trabajador;Índice;2001T3;72,3
04 Balears, Illes;Coste salarial total por trabajador;Índice;2001T2;70
04 Balears, Illes;Coste salarial total por trabajador;Índice;2001T1;67,8
04 Balears, Illes;Coste salarial total por trabajador;Índice;2000T4;80,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2000T3;68,6
04 Balears, Illes;Coste salarial total por trabajador;Índice;2000T2;67,5
04 Balears, Illes;Coste salarial total por trabajador;Índice;2000T1;66,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2024T4;4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2024T3;5,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2024T2;2,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2024T1;7,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2023T4;6,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2023T3;6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2023T2;10,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2023T1;11,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2022T4;7,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2022T3;9,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2022T2;5,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2022T1;11,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2021T4;10,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2021T3;13,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2021T2;34,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2021T1;-8,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2020T4;-9,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2020T3;-12,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2020T2;-26
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2020T1;1,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2019T4;0,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2019T3;0,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2019T2;-0,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2019T1;1,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2018T4;2,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2018T3;5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2018T2;3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2018T1;2,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2017T4;2,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2017T3;3,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2017T2;3,8
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2017T1;0,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2016T4;-1,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2016T3;-0,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2016T2;-1,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2016T1;-2,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2015T4;0,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2015T3;1,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2015T2;2,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2015T1;2,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2014T4;3,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2014T3;0,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2014T2;-1,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2014T1;0,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2013T4;2,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2013T3;-1,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2013T2;-1,8
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2013T1;-1,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2012T4;-4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2012T3;-1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2012T2;0,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2012T1;-1,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2011T4;-0,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2011T3;0,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2011T2;0
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2011T1;0,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2010T4;1,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2010T3;0,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2010T2;0
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2010T1;2,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2009T4;0,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2009T3;3,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2009T2;5,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2009T1;3,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2008T4;3,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2008T3;6,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2008T2;6,8
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2008T1;5,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2007T4;4,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2007T3;2,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2007T2;4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2007T1;3,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2006T4;5,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2006T3;3,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2006T2;7,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2006T1;7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2005T4;4,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2005T3;4,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2005T2;4,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2005T1;4,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2004T4;6,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2004T3;4,6
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2004T2;5,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2004T1;4,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2003T4;4,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2003T3;3,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2003T2;5,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2003T1;7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2002T4;2,9
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2002T3;4,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2002T2;4,2
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2002T1;5,1
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2001T4;4,3
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2001T3;5,4
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2001T2;3,7
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2001T1;2,5
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2000T4;..
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2000T3;..
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2000T2;..
04 Balears, Illes;Coste salarial total por trabajador;Tasa de variación anual;2000T1;..
04 Balears, Illes;Otros costes por trabajador;Euros;2024T4;860,46
04 Balears, Illes;Otros costes por trabajador;Euros;2024T3;817,09
04 Balears, Illes;Otros costes por trabajador;Euros;2024T2;805,18
04 Balears, Illes;Otros costes por trabajador;Euros;2024T1;778,31
04 Balears, Illes;Otros costes por trabajador;Euros;2023T4;857,94
04 Balears, Illes;Otros costes por trabajador;Euros;2023T3;768,79
04 Balears, Illes;Otros costes por trabajador;Euros;2023T2;766,14
04 Balears, Illes;Otros costes por trabajador;Euros;2023T1;740,72
04 Balears, Illes;Otros costes por trabajador;Euros;2022T4;718,57
04 Balears, Illes;Otros costes por trabajador;Euros;2022T3;712,81
04 Balears, Illes;Otros costes por trabajador;Euros;2022T2;690,57
04 Balears, Illes;Otros costes por trabajador;Euros;2022T1;673,92
04 Balears, Illes;Otros costes por trabajador;Euros;2021T4;682,05
04 Balears, Illes;Otros costes por trabajador;Euros;2021T3;591,07
04 Balears, Illes;Otros costes por trabajador;Euros;2021T2;612,18
04 Balears, Illes;Otros costes por trabajador;Euros;2021T1;614,39
04 Balears, Illes;Otros costes por trabajador;Euros;2020T4;636,92
04 Balears, Illes;Otros costes por trabajador;Euros;2020T3;567,41
04 Balears, Illes;Otros costes por trabajador;Euros;2020T2;519,48
04 Balears, Illes;Otros costes por trabajador;Euros;2020T1;655,36
04 Balears, Illes;Otros costes por trabajador;Euros;2019T4;690,9
04 Balears, Illes;Otros costes por trabajador;Euros;2019T3;678,47
04 Balears, Illes;Otros costes por trabajador;Euros;2019T2;663,3
04 Balears, Illes;Otros costes por trabajador;Euros;2019T1;651,74
04 Balears, Illes;Otros costes por trabajador;Euros;2018T4;670,39
04 Balears, Illes;Otros costes por trabajador;Euros;2018T3;658,69
04 Balears, Illes;Otros costes por trabajador;Euros;2018T2;636,64
04 Balears, Illes;Otros costes por trabajador;Euros;2018T1;632,91
04 Balears, Illes;Otros costes por trabajador;Euros;2017T4;654,55
04 Balears, Illes;Otros costes por trabajador;Euros;2017T3;630,37
04 Balears, Illes;Otros costes por trabajador;Euros;2017T2;625,84
04 Balears, Illes;Otros costes por trabajador;Euros;2017T1;607,46
04 Balears, Illes;Otros costes por trabajador;Euros;2016T4;640,57
04 Balears, Illes;Otros costes por trabajador;Euros;2016T3;615,02
04 Balears, Illes;Otros costes por trabajador;Euros;2016T2;632,86
04 Balears, Illes;Otros costes por trabajador;Euros;2016T1;602,77
04 Balears, Illes;Otros costes por trabajador;Euros;2015T4;622,62
04 Balears, Illes;Otros costes por trabajador;Euros;2015T3;607,49
04 Balears, Illes;Otros costes por trabajador;Euros;2015T2;603,05
04 Balears, Illes;Otros costes por trabajador;Euros;2015T1;648,98
04 Balears, Illes;Otros costes por trabajador;Euros;2014T4;656,61
04 Balears, Illes;Otros costes por trabajador;Euros;2014T3;623,78
04 Balears, Illes;Otros costes por trabajador;Euros;2014T2;605,53
04 Balears, Illes;Otros costes por trabajador;Euros;2014T1;652,03
04 Balears, Illes;Otros costes por trabajador;Euros;2013T4;628,84
04 Balears, Illes;Otros costes por trabajador;Euros;2013T3;618,95
04 Balears, Illes;Otros costes por trabajador;Euros;2013T2;604,87
04 Balears, Illes;Otros costes por trabajador;Euros;2013T1;642,89
04 Balears, Illes;Otros costes por trabajador;Euros;2012T4;627,01
04 Balears, Illes;Otros costes por trabajador;Euros;2012T3;623,23
04 Balears, Illes;Otros costes por trabajador;Euros;2012T2;615,19
04 Balears, Illes;Otros costes por trabajador;Euros;2012T1;622,85
04 Balears, Illes;Otros costes por trabajador;Euros;2011T4;631,55
04 Balears, Illes;Otros costes por trabajador;Euros;2011T3;619,64
04 Balears, Illes;Otros costes por trabajador;Euros;2011T2;686,65
04 Balears, Illes;Otros costes por trabajador;Euros;2011T1;656,56
04 Balears, Illes;Otros costes por trabajador;Euros;2010T4;666,03
04 Balears, Illes;Otros costes por trabajador;Euros;2010T3;599,4
04 Balears, Illes;Otros costes por trabajador;Euros;2010T2;611,95
04 Balears, Illes;Otros costes por trabajador;Euros;2010T1;647,79
04 Balears, Illes;Otros costes por trabajador;Euros;2009T4;639,25
04 Balears, Illes;Otros costes por trabajador;Euros;2009T3;622,69
04 Balears, Illes;Otros costes por trabajador;Euros;2009T2;622,76
04 Balears, Illes;Otros costes por trabajador;Euros;2009T1;663,53
04 Balears, Illes;Otros costes por trabajador;Euros;2008T4;677,1
04 Balears, Illes;Otros costes por trabajador;Euros;2008T3;581,06
04 Balears, Illes;Otros costes por trabajador;Euros;2008T2;584,6
04 Balears, Illes;Otros costes por trabajador;Euros;2008T1;590,2
04 Balears, Illes;Otros costes por trabajador;Euros;2007T4;577,57
04 Balears, Illes;Otros costes por trabajador;Euros;2007T3;554,81
04 Balears, Illes;Otros costes por trabajador;Euros;2007T2;591,77
04 Balears, Illes;Otros costes por trabajador;Euros;2007T1;543,81
04 Balears, Illes;Otros costes por trabajador;Euros;2006T4;560,48
04 Balears, Illes;Otros costes por trabajador;Euros;2006T3;540,16
04 Balears, Illes;Otros costes por trabajador;Euros;2006T2;530
04 Balears, Illes;Otros costes por trabajador;Euros;2006T1;544,34
04 Balears, Illes;Otros costes por trabajador;Euros;2005T4;552,3
04 Balears, Illes;Otros costes por trabajador;Euros;2005T3;519,09
04 Balears, Illes;Otros costes por trabajador;Euros;2005T2;512,64
04 Balears, Illes;Otros costes por trabajador;Euros;2005T1;506,27
04 Balears, Illes;Otros costes por trabajador;Euros;2004T4;542,26
04 Balears, Illes;Otros costes por trabajador;Euros;2004T3;501,34
04 Balears, Illes;Otros costes por trabajador;Euros;2004T2;487,29
04 Balears, Illes;Otros costes por trabajador;Euros;2004T1;481,47
04 Balears, Illes;Otros costes por trabajador;Euros;2003T4;496,5
04 Balears, Illes;Otros costes por trabajador;Euros;2003T3;467,44
04 Balears, Illes;Otros costes por trabajador;Euros;2003T2;453,38
04 Balears, Illes;Otros costes por trabajador;Euros;2003T1;446,78
04 Balears, Illes;Otros costes por trabajador;Euros;2002T4;455,61
04 Balears, Illes;Otros costes por trabajador;Euros;2002T3;428,82
04 Balears, Illes;Otros costes por trabajador;Euros;2002T2;426,5
04 Balears, Illes;Otros costes por trabajador;Euros;2002T1;419,89
04 Balears, Illes;Otros costes por trabajador;Euros;2001T4;433,05
04 Balears, Illes;Otros costes por trabajador;Euros;2001T3;397,57
04 Balears, Illes;Otros costes por trabajador;Euros;2001T2;402,7
04 Balears, Illes;Otros costes por trabajador;Euros;2001T1;398,71
04 Balears, Illes;Otros costes por trabajador;Euros;2000T4;402,57
04 Balears, Illes;Otros costes por trabajador;Euros;2000T3;381,81
04 Balears, Illes;Otros costes por trabajador;Euros;2000T2;383,13
04 Balears, Illes;Otros costes por trabajador;Euros;2000T1;380,59
04 Balears, Illes;Otros costes por trabajador;Índice;2024T4;144,7
04 Balears, Illes;Otros costes por trabajador;Índice;2024T3;137,4
04 Balears, Illes;Otros costes por trabajador;Índice;2024T2;135,4
04 Balears, Illes;Otros costes por trabajador;Índice;2024T1;130,9
04 Balears, Illes;Otros costes por trabajador;Índice;2023T4;144,2
04 Balears, Illes;Otros costes por trabajador;Índice;2023T3;129,3
04 Balears, Illes;Otros costes por trabajador;Índice;2023T2;128,8
04 Balears, Illes;Otros costes por trabajador;Índice;2023T1;124,5
04 Balears, Illes;Otros costes por trabajador;Índice;2022T4;120,8
04 Balears, Illes;Otros costes por trabajador;Índice;2022T3;119,8
04 Balears, Illes;Otros costes por trabajador;Índice;2022T2;116,1
04 Balears, Illes;Otros costes por trabajador;Índice;2022T1;113,3
