Sectores de actividad CNAE 2009;Componentes del coste;Tipo de dato;Clase de indicador;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2016T4;2.649,97
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2016T3;2.444,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2016T2;2.589,08
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2016T1;2.481,51
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2015T4;2.671,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2015T3;2.456,46
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2015T2;2.591,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2015T1;2.487,44
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2014T4;2.638,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2014T3;2.450,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2014T2;2.580,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2014T1;2.474,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2013T4;2.652,44
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2013T3;2.460,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2013T2;2.583,24
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2013T1;2.480,22
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2012T4;2.598,69
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2012T3;2.455,49
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2012T2;2.591,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2012T1;2.515,04
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2011T4;2.683,86
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2011T3;2.456,91
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2011T2;2.599,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2011T1;2.486,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2010T4;2.642,17
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2010T3;2.421,49
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2010T2;2.578,11
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2010T1;2.466,11
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2009T4;2.649,13
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2009T3;2.428,91
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2009T2;2.548,69
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2009T1;2.440,54
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2008T4;2.583,82
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2008T3;2.350,17
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2008T2;2.451,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2008T1;2.342,28
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2007T4;2.459,71
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2007T3;2.242,03
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2007T2;2.339,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2007T1;2.239,53
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2006T4;2.358,85
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2006T3;2.152,88
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2006T2;2.254,38
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2006T1;2.154,32
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2005T4;2.251,93
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2005T3;2.055,75
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2005T2;2.141,24
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2005T1;2.063,93
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2004T4;2.189
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2004T3;2.006,72
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2004T2;2.067,86
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2004T1;2.016,58
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2003T4;2.134,67
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2003T3;1.960,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2003T2;1.999,46
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2003T1;1.940,05
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2002T4;2.052,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2002T3;1.888,12
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2002T2;1.907,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2002T1;1.837,27
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2001T4;1.966,79
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2001T3;1.810,54
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2001T2;1.827,17
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2001T1;1.756,16
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2000T4;1.883,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2000T3;1.734,62
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2000T2;1.764,85
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Euros;Principales series de ETCL;2000T1;1.693,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2024T4;126,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2024T3;117,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2024T2;122,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2024T1;117
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2023T4;122,3
