Comunidades y Ciudades Autónomas;Periodo;Total
02 Aragón;2016T3;13,33
02 Aragón;2016T2;15,27
02 Aragón;2016T1;14,31
02 Aragón;2015T4;15
02 Aragón;2015T3;13,46
02 Aragón;2015T2;14,42
02 Aragón;2015T1;15,13
02 Aragón;2014T4;16,15
02 Aragón;2014T3;16,22
02 Aragón;2014T2;17,03
02 Aragón;2014T1;16,32
02 Aragón;2013T4;15,47
02 Aragón;2013T3;15,1
02 Aragón;2013T2;16,29
02 Aragón;2013T1;15,43
02 Aragón;2012T4;15,62
02 Aragón;2012T3;15,02
02 Aragón;2012T2;15,08
02 Aragón;2012T1;14,86
02 Aragón;2011T4;16,47
02 Aragón;2011T3;17,22
02 Aragón;2011T2;16,7
02 Aragón;2011T1;17,74
02 Aragón;2010T4;17,81
02 Aragón;2010T3;17,28
02 Aragón;2010T2;16,01
02 Aragón;2010T1;16,55
02 Aragón;2009T4;16,42
02 Aragón;2009T3;15,35
02 Aragón;2009T2;15,31
02 Aragón;2009T1;16,36
02 Aragón;2008T4;17,08
02 Aragón;2008T3;15,83
02 Aragón;2008T2;16,13
02 Aragón;2008T1;15,38
03 Asturias, Principado de;2024T4;20,24
03 Asturias, Principado de;2024T3;20,44
03 Asturias, Principado de;2024T2;19,49
03 Asturias, Principado de;2024T1;19,97
03 Asturias, Principado de;2023T4;18,39
03 Asturias, Principado de;2023T3;17,45
03 Asturias, Principado de;2023T2;19,41
03 Asturias, Principado de;2023T1;17,95
03 Asturias, Principado de;2022T4;18,15
03 Asturias, Principado de;2022T3;18,11
03 Asturias, Principado de;2022T2;17,39
03 Asturias, Principado de;2022T1;18,51
03 Asturias, Principado de;2021T4;19,46
03 Asturias, Principado de;2021T3;19,19
03 Asturias, Principado de;2021T2;18,93
03 Asturias, Principado de;2021T1;18,74
03 Asturias, Principado de;2020T4;17,69
03 Asturias, Principado de;2020T3;18,35
03 Asturias, Principado de;2020T2;19,48
03 Asturias, Principado de;2020T1;19,05
03 Asturias, Principado de;2019T4;20,18
03 Asturias, Principado de;2019T3;18,2
03 Asturias, Principado de;2019T2;17,3
03 Asturias, Principado de;2019T1;17,2
03 Asturias, Principado de;2018T4;20,01
03 Asturias, Principado de;2018T3;19,34
03 Asturias, Principado de;2018T2;18,35
03 Asturias, Principado de;2018T1;18,17
03 Asturias, Principado de;2017T4;16,6
03 Asturias, Principado de;2017T3;19,05
03 Asturias, Principado de;2017T2;17,15
03 Asturias, Principado de;2017T1;17,7
03 Asturias, Principado de;2016T4;16,67
03 Asturias, Principado de;2016T3;18,18
03 Asturias, Principado de;2016T2;17,87
03 Asturias, Principado de;2016T1;17,55
03 Asturias, Principado de;2015T4;20,19
03 Asturias, Principado de;2015T3;18,08
03 Asturias, Principado de;2015T2;18,72
03 Asturias, Principado de;2015T1;19,5
03 Asturias, Principado de;2014T4;18,77
03 Asturias, Principado de;2014T3;16,71
03 Asturias, Principado de;2014T2;18,53
03 Asturias, Principado de;2014T1;18,8
03 Asturias, Principado de;2013T4;18,17
03 Asturias, Principado de;2013T3;19,86
03 Asturias, Principado de;2013T2;20,55
03 Asturias, Principado de;2013T1;18,59
03 Asturias, Principado de;2012T4;17,43
03 Asturias, Principado de;2012T3;18,33
03 Asturias, Principado de;2012T2;19,85
03 Asturias, Principado de;2012T1;17,82
03 Asturias, Principado de;2011T4;18,99
03 Asturias, Principado de;2011T3;18,96
03 Asturias, Principado de;2011T2;17,79
03 Asturias, Principado de;2011T1;17,78
03 Asturias, Principado de;2010T4;17,32
03 Asturias, Principado de;2010T3;16,61
03 Asturias, Principado de;2010T2;17,49
03 Asturias, Principado de;2010T1;16,8
03 Asturias, Principado de;2009T4;15,6
03 Asturias, Principado de;2009T3;15,16
03 Asturias, Principado de;2009T2;16,26
03 Asturias, Principado de;2009T1;15,45
03 Asturias, Principado de;2008T4;14,63
03 Asturias, Principado de;2008T3;17,75
03 Asturias, Principado de;2008T2;15,01
03 Asturias, Principado de;2008T1;14,87
04 Balears, Illes;2024T4;16,07
04 Balears, Illes;2024T3;14,86
04 Balears, Illes;2024T2;15,46
04 Balears, Illes;2024T1;14,37
04 Balears, Illes;2023T4;14,86
04 Balears, Illes;2023T3;13,07
04 Balears, Illes;2023T2;13,62
04 Balears, Illes;2023T1;12,87
04 Balears, Illes;2022T4;14,67
04 Balears, Illes;2022T3;14,33
04 Balears, Illes;2022T2;14,13
04 Balears, Illes;2022T1;14,44
04 Balears, Illes;2021T4;15,37
04 Balears, Illes;2021T3;14,2
04 Balears, Illes;2021T2;14,02
04 Balears, Illes;2021T1;14,38
04 Balears, Illes;2020T4;14,94
04 Balears, Illes;2020T3;16,57
04 Balears, Illes;2020T2;28,05
04 Balears, Illes;2020T1;15,15
04 Balears, Illes;2019T4;15,74
04 Balears, Illes;2019T3;13,93
04 Balears, Illes;2019T2;15,26
04 Balears, Illes;2019T1;15,04
04 Balears, Illes;2018T4;16,4
04 Balears, Illes;2018T3;17,14
04 Balears, Illes;2018T2;15,53
04 Balears, Illes;2018T1;18,1
04 Balears, Illes;2017T4;16,18
04 Balears, Illes;2017T3;14,88
04 Balears, Illes;2017T2;15,25
04 Balears, Illes;2017T1;16,07
04 Balears, Illes;2016T4;14,94
04 Balears, Illes;2016T3;14,03
04 Balears, Illes;2016T2;17,6
04 Balears, Illes;2016T1;13,5
04 Balears, Illes;2015T4;17,64
04 Balears, Illes;2015T3;16,33
04 Balears, Illes;2015T2;16,68
04 Balears, Illes;2015T1;14,82
04 Balears, Illes;2014T4;15
04 Balears, Illes;2014T3;15,63
04 Balears, Illes;2014T2;14,75
04 Balears, Illes;2014T1;14,96
04 Balears, Illes;2013T4;16,43
04 Balears, Illes;2013T3;17,58
04 Balears, Illes;2013T2;17,31
04 Balears, Illes;2013T1;17,5
04 Balears, Illes;2012T4;16,95
04 Balears, Illes;2012T3;17,46
04 Balears, Illes;2012T2;16,67
04 Balears, Illes;2012T1;15,54
04 Balears, Illes;2011T4;16,24
04 Balears, Illes;2011T3;16,21
04 Balears, Illes;2011T2;17,43
04 Balears, Illes;2011T1;19,81
04 Balears, Illes;2010T4;16,54
04 Balears, Illes;2010T3;13,84
04 Balears, Illes;2010T2;15,48
04 Balears, Illes;2010T1;17,47
04 Balears, Illes;2009T4;15,92
04 Balears, Illes;2009T3;15,28
04 Balears, Illes;2009T2;14,01
04 Balears, Illes;2009T1;14,32
04 Balears, Illes;2008T4;15
04 Balears, Illes;2008T3;16,36
04 Balears, Illes;2008T2;14,46
04 Balears, Illes;2008T1;13,55
05 Canarias;2024T4;21,07
05 Canarias;2024T3;23,85
05 Canarias;2024T2;23,17
05 Canarias;2024T1;18,28
05 Canarias;2023T4;14,62
05 Canarias;2023T3;18,44
05 Canarias;2023T2;18,63
05 Canarias;2023T1;16,86
05 Canarias;2022T4;18,9
05 Canarias;2022T3;17,3
05 Canarias;2022T2;20,25
05 Canarias;2022T1;19,11
05 Canarias;2021T4;12,91
05 Canarias;2021T3;13,22
05 Canarias;2021T2;14,38
05 Canarias;2021T1;13,96
05 Canarias;2020T4;14,09
05 Canarias;2020T3;14,78
05 Canarias;2020T2;16,71
05 Canarias;2020T1;16,52
05 Canarias;2019T4;13,43
05 Canarias;2019T3;15,12
05 Canarias;2019T2;15,39
05 Canarias;2019T1;15,92
05 Canarias;2018T4;14,9
05 Canarias;2018T3;15,7
05 Canarias;2018T2;16,39
05 Canarias;2018T1;14,63
